route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
9-1,19_1,1582398813-19,MOSSON,1,1,,
9-1,19_1,1582398211-19,ODYSSEUM,1,0,,
9-1,19_1,1582398391-19,MOSSON,1,1,,
9-1,19_1,1582398812-19,MOSSON,1,1,,
9-1,19_1,1582398032-19,ODYSSEUM,1,0,,
9-1,19_1,1582398814-19,MOSSON,1,1,,
9-1,19_1,1582398029-19,ODYSSEUM,1,0,,
9-1,19_1,1582398815-19,MOSSON,1,1,,
9-1,19_1,1582398030-19,ODYSSEUM,1,0,,
9-1,19_1,1582398212-19,MOSSON,1,1,,
9-1,19_1,1582398026-19,ODYSSEUM,1,0,,
9-1,19_1,1582398234-19,ODYSSEUM,1,0,,
9-1,19_1,1582398854-19,MOSSON,1,1,,
9-1,19_1,1582398025-19,ODYSSEUM,1,0,,
9-1,19_1,1582398233-19,ODYSSEUM,1,0,,
9-1,19_1,1582398816-19,MOSSON,1,1,,
9-1,19_1,1582398217-19,ODYSSEUM,1,0,,
9-1,19_1,1582398031-19,MOSSON,1,1,,
9-1,19_1,1582398113-19,ODYSSEUM,1,0,,
9-1,19_1,1582398817-19,MOSSON,1,1,,
9-1,19_1,1582398219-19,ODYSSEUM,1,0,,
9-1,19_1,1582398312-19,ODYSSEUM,1,0,,
9-1,19_1,1582398024-19,ODYSSEUM,1,0,,
9-1,19_1,1582398855-19,MOSSON,1,1,,
9-1,19_1,1582398209-19,ODYSSEUM,1,0,,
9-1,19_1,1582398304-19,ODYSSEUM,1,0,,
9-1,19_1,1582398028-19,MOSSON,1,1,,
9-1,19_1,1582398276-19,ODYSSEUM,1,0,,
9-1,19_1,1582398256-19,ODYSSEUM,1,0,,
9-1,19_1,1582398023-19,ODYSSEUM,1,0,,
9-1,19_1,1582398225-19,ODYSSEUM,1,0,,
9-1,19_1,1582398027-19,MOSSON,1,1,,
9-1,19_1,1582398880-19,MOSSON,1,1,,
9-1,19_1,1582398112-19,ODYSSEUM,1,0,,
9-1,19_1,1582398226-19,ODYSSEUM,1,0,,
9-1,19_1,1582398022-19,MOSSON,1,1,,
9-1,19_1,1582398021-19,ODYSSEUM,1,0,,
9-1,19_1,1582398218-19,ODYSSEUM,1,0,,
9-1,19_1,1582398818-19,MOSSON,1,1,,
9-1,19_1,1582398328-19,MOSSON,1,1,,
9-1,19_1,1582398092-19,ODYSSEUM,1,0,,
9-1,19_1,1582398227-19,ODYSSEUM,1,0,,
9-1,19_1,1582398307-19,OCCITANIE,1,1,,
9-1,19_1,1582398237-19,ODYSSEUM,1,0,,
9-1,19_1,1582398315-19,MOSSON,1,1,,
9-1,19_1,1582398093-19,ODYSSEUM,1,0,,
9-1,19_1,1582398329-19,OCCITANIE,1,1,,
9-1,19_1,1582398076-19,MOSSON,1,1,,
9-1,19_1,1582398251-19,ODYSSEUM,1,0,,
9-1,19_1,1582398879-19,MOSSON,1,1,,
9-1,19_1,1582398327-19,MOSSON,1,1,,
9-1,19_1,1582398313-19,ODYSSEUM,1,0,,
9-1,19_1,1582398301-19,OCCITANIE,1,1,,
9-1,19_1,1582398330-19,ODYSSEUM,1,0,,
9-1,19_1,1582398235-19,MOSSON,1,1,,
9-1,19_1,1582398094-19,ODYSSEUM,1,0,,
9-1,19_1,1582398229-19,MOSSON,1,1,,
