service_id,date,exception_type
04_1,20260804,1
04_4,20260804,1
04_1,20260805,1
04_4,20260805,1
04_1,20260806,1
04_4,20260806,1
04_4,20260807,1
04_5,20260807,1
04_7,20260808,1
04_8,20260809,1
04_1,20260810,1
04_4,20260810,1
04_1,20260811,1
04_4,20260811,1
04_1,20260812,1
04_4,20260812,1
04_1,20260813,1
04_4,20260813,1
04_4,20260814,1
04_5,20260814,1
04_7,20260815,1
04_8,20260816,1
04_1,20260817,1
04_4,20260817,1
04_1,20260818,1
04_4,20260818,1
04_1,20260819,1
04_4,20260819,1
04_1,20260820,1
04_4,20260820,1
04_4,20260821,1
04_5,20260821,1
04_7,20260822,1
04_8,20260823,1
04_1,20260824,1
04_4,20260824,1
04_1,20260825,1
04_4,20260825,1
04_1,20260826,1
04_4,20260826,1
04_1,20260827,1
04_4,20260827,1
04_4,20260828,1
04_5,20260828,1
04_7,20260829,1
04_8,20260830,1
07_1,20260831,1
07_4,20260831,1
07_1,20260901,1
07_4,20260901,1
07_1,20260902,1
07_4,20260902,1
07_1,20260903,1
07_4,20260903,1
07_4,20260904,1
07_5,20260904,1
07_7,20260905,1
07_8,20260906,1
07_1,20260907,1
07_4,20260907,1
07_1,20260908,1
07_4,20260908,1
07_1,20260909,1
07_4,20260909,1
07_1,20260910,1
07_4,20260910,1
07_4,20260911,1
07_5,20260911,1
07_7,20260912,1
07_8,20260913,1
07_1,20260914,1
07_4,20260914,1
07_1,20260915,1
07_4,20260915,1
07_1,20260916,1
07_4,20260916,1
07_1,20260917,1
07_4,20260917,1
07_4,20260918,1
07_5,20260918,1
07_7,20260919,1
07_8,20260920,1
07_1,20260921,1
07_4,20260921,1
07_1,20260922,1
07_4,20260922,1
07_1,20260923,1
07_4,20260923,1
07_1,20260924,1
07_4,20260924,1
07_4,20260925,1
07_5,20260925,1
07_7,20260926,1
07_8,20260927,1
07_1,20260928,1
07_4,20260928,1
07_1,20260929,1
07_4,20260929,1
07_1,20260930,1
07_4,20260930,1
07_1,20261001,1
07_4,20261001,1
07_4,20261002,1
07_5,20261002,1
07_7,20261003,1
07_8,20261004,1
07_1,20261005,1
07_4,20261005,1
07_1,20261006,1
07_4,20261006,1
07_1,20261007,1
07_4,20261007,1
07_1,20261008,1
07_4,20261008,1
07_4,20261009,1
07_5,20261009,1
07_7,20261010,1
07_8,20261011,1
07_1,20261012,1
07_4,20261012,1
07_1,20261013,1
07_4,20261013,1
07_1,20261014,1
07_4,20261014,1
07_1,20261015,1
07_4,20261015,1
07_4,20261016,1
07_5,20261016,1
