stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
5,21,Gare Saint-Roch - Pont de Sète,"gare saint rock, pont de sète",43.604172,3.878124,,,1
20,1112,Tonnelles,TONNELLES,43.614075,3.837982,,,1
21,1113,Petit Bard,PETIT BARD,43.614632,3.835423,,,1
22,1114,Marie Curie,MARIE CURIE,43.614841,3.831283,,,1
23,1115,Renaudel,RENAUDEL,43.614635,3.828098,,,1
28,1124,Collège Les Escholiers,"collège, les eskoliers",43.633236,3.822606,,,1
29,1125,Hauts de Massane,HAUTS DE MASSANE,43.636143,3.82257,,,1
30,1126,Raimbaud d'Orange,RAIMBAU D'ORANGE,43.637489,3.820786,,,1
31,1127,Comté de Toulouse,"COMTé, deTOULOUSE",43.636978,3.819287,,,1
32,1130,Place d'Italie,"PLace, D'ITALI",43.6418,3.818385,,,1
33,1131,Jacques Prévert,"JACQUES, PRéVERT",43.642353,3.814104,,,1
34,1132,Corse,CORSE,43.640533,3.81116,,,1
35,1133,Comté de Nice,"conté, DE NICE",43.638638,3.811767,,,1
36,1134,Mas de Bellevue,"MAS, DE BELLEVUE",43.636501,3.812801,,,1
37,1135,Pierre de Coubertin,"pierre, de coubertin",43.637848,3.814816,,,1
41,1141,Pierre de Coubertin,"pierre, de coubertin",43.637753,3.814641,,,1
42,1142,Pierre Cardenal,"PIERRE, CARDEuNAL",43.638725,3.81901,,,1
43,1143,Carriéra,CARRIERA,43.640831,3.818954,,,1
44,1202,Mas de Bellevue,"MAS, DE BELLEVUE",43.637115,3.812508,,,1
45,1203,Comté de Nice,"conté, DE NICE",43.638905,3.81118,,,1
46,1204,Corse,CORSE,43.640991,3.811692,,,1
47,1205,Jacques Prévert,"JACQUES, PRéVERT",43.642262,3.814077,,,1
48,1206,Place d'Italie,"PLace, D'ITALI",43.641865,3.818325,,,1
49,1208,Carriéra,CARRIERA,43.640781,3.819225,,,1
50,1209,Pierre Cardenal,"PIERRE, CARDEuNAL",43.637993,3.818794,,,1
51,1210,Comté de Toulouse,"COMTé, deTOULOUSE",43.636822,3.818862,,,1
52,1211,Raimbaud d'Orange,RAIMBAU D'ORANGE,43.637424,3.821428,,,1
53,1212,Hauts de Massane,HAUTS DE MASSANE,43.63612,3.82278,,,1
54,1213,Collège Les Escholiers,"collège, les eskoliers",43.632835,3.822484,,,1
60,1223,Renaudel,RENAUDEL,43.614597,3.828159,,,1
61,1224,Marie Curie,MARIE CURIE,43.614746,3.831058,,,1
62,1225,Petit Bard,PETIT BARD,43.614574,3.8351,,,1
63,1226,Tonnelles,TONNELLES,43.613899,3.838225,,,1
79,2125,Ambroise Paré,AMBROISE PARé,43.638031,3.847672,,,1
80,2126,Route de Ganges,Route DE GANGES,43.642982,3.84529,,,1
81,2127,Antennes,ANTENNES,43.644756,3.841983,,,1
82,2128,Val d'Aurelle,VAL D'AURELLE,43.642727,3.835913,,,1
83,2129,Puech Villa,"PUèCHe, VILLA",43.640083,3.829394,,,1
92,2202,Euromédecine,euro médecinne,43.638859,3.827567,,,1
93,2203,Puech Villa,"PUèCHe, VILLA",43.639713,3.829694,,,1
94,2204,Val d'Aurelle,VAL D'AURELLE,43.642773,3.836446,,,1
95,2205,Antennes,ANTENNES,43.644688,3.842228,,,1
96,2206,Route de Ganges,Route DE GANGES,43.642841,3.845138,,,1
101,3101,Tournezy,TOURNEZY,43.579121,3.877844,,,1
102,3102,Mas Saint-Pierre,"MAS, Saint PIERRE",43.582111,3.879867,,,1
105,3105,Saporta,SAPORTA,43.584606,3.888269,,,1
106,3106,Mas Argelliers,MAS ARGELLIERS,43.586811,3.88943,,,1
107,3107,Garcia Lorca,garcia lorca,43.591152,3.890178,,,1
108,3108,Cité de l'Arme,CITé DE L'ARME,43.593273,3.889568,,,1
109,3109,Lucullus,LUCULLUS,43.594826,3.888546,,,1
110,3110,Collège Gérard Philipe,collège gérard philippe,43.597343,3.886611,,,1
111,3111,Iris,IRIS,43.599014,3.88537,,,1
112,3112,Cité Mion,CITé MIYON,43.601345,3.88474,,,1
115,3118,Saint-Jaumes,"saint,  jôm",43.615204,3.869687,,,1
116,3119,La Pile,LA PILE,43.617313,3.86811,,,1
117,3120,Maison des Sports,MAISON DES SPORTS,43.618412,3.864625,,,1
118,3121,Pous de la Sers,POUSse DE LA SER,43.619106,3.86186,,,1
119,3124,Cinsaults,CINSAULTS,43.620598,3.856925,,,1
120,3125,Henri Marès,"HENRI, MARèsse",43.620167,3.85382,,,1
121,3126,Louis Ravaz,"LOUIS, RAVASse",43.620106,3.852296,,,1
122,3129,Las Rébès,LASse RéBESse,43.620804,3.849234,,,1
123,3130,Cévennes,CéVENNES,43.622097,3.846286,,,1
124,3131,Sainte-Geneviève,SAINTE GENEUVIEVE,43.62344,3.843945,,,1
125,3135,Alco,ALCO,43.625603,3.840339,,,1
126,3136,Pierre Viala,PIERRE VIALA,43.61742,3.854106,,,1
127,3137,Louis Ravaz,"LOUIS, RAVASse",43.619694,3.851419,,,1
128,3138,Occitanie Hôpitaux - Facultés,OCCITANIE - hopitaux-facultés,43.634789,3.848243,,,1
129,3139,Apothicaires,APOTHIquères,43.641609,3.834955,,,1
130,3140,La Gaillarde,LA GAILLARDE,43.616264,3.857713,,,1
131,3141,Château d'Ô,CHATEAU D'eau,43.631283,3.842927,,,1
132,3201,Alco,ALCO,43.625832,3.839504,,,1
133,3202,Sainte-Geneviève,SAINTE GENEUVIEVE,43.623028,3.844479,,,1
134,3203,Cévennes,CéVENNES,43.622025,3.846185,,,1
135,3204,Las Rébès,LASse RéBESse,43.620743,3.84917,,,1
136,3205,Louis Ravaz,"LOUIS, RAVASse",43.620018,3.852133,,,1
137,3206,Henri Marès,"HENRI, MAResse",43.620113,3.854338,,,1
138,3207,Cinsaults,CINSAULTS,43.620525,3.856985,,,1
139,3209,Pous de la Sers,POUSse DE LA SERS,43.619289,3.861159,,,1
140,3210,Maison des Sports,MAISON DES SPORTS,43.618347,3.864314,,,1
144,3216,Cité Mion,CITé MIYON,43.600517,3.884693,,,1
145,3217,Iris,IRIS,43.598473,3.885578,,,1
146,3218,Collège Gérard Philipe,collège gérard philippe,43.59737,3.886488,,,1
147,3219,Lucullus,LUCULLUS,43.594707,3.888494,,,1
148,3220,Cité de l'Arme,CITEé DE L'ARME,43.593639,3.889219,,,1
149,3221,Garcia Lorca,garcia lorca,43.590912,3.890097,,,1
150,3222,Mas Argelliers,MAS ARGELLIERS,43.586502,3.889075,,,1
151,3223,Saporta,SAPORTA,43.583603,3.887562,,,1
154,3226,Mas Saint-Pierre,"MAS, Saint PIERRE",43.582111,3.879867,,,1
155,3228,Occitanie Hôpitaux - Facultés,OCCITANIE - hopitaux-facultés,43.634354,3.848602,,,1
156,3229,Louis Ravaz,"LOUIS, RAVASse",43.619659,3.851369,,,1
157,3230,Pierre Viala,PIERRE VIALA,43.616589,3.854962,,,1
158,3231,La Gaillarde,LA GAILLARDE,43.616287,3.858641,,,1
159,3232,Apothicaires,APOTIcaires,43.641678,3.835155,,,1
169,4116,Jean Mermoz,"j'en, MERMOZ",43.612541,3.889349,,,1
175,4124,Roger Salengro,SALiNGRO,43.632404,3.896511,,,1
176,4125,Mairie de Castelnau-le-Lez,MAIRIE DE CASTELNAU le leze,43.633003,3.897431,,,1
178,4127,Castors,CASTORS,43.632832,3.903739,,,1
186,4135,Saint-Exupéry,SAINT EXUPéRY,43.641537,3.923239,,,1
187,4136,Place du Forum,PLace DU FORUM,43.644981,3.924251,,,1
191,4141,Corum,CORUM,43.614582,3.882303,,,1
194,4161,Sapins,SAPINS,43.637009,3.910191,,,1
195,4162,Thym,THYM,43.637974,3.906256,,,1
196,4163,Chênes Kermès,CHENES kairmesse,43.639019,3.909169,,,1
197,4164,Acacias,acacia,43.640694,3.911258,,,1
198,4165,Sycomores,SYCOMORES,43.641991,3.910601,,,1
199,4166,Cimetière du Champ Juvénal,cimeutière du champ juvainal,43.643909,3.910319,,,1
200,4167,Auguste Renoir,"auguste, renoir",43.643604,3.910979,,,1
201,4168,Buissonnets,BUISSONNETS,43.645477,3.907007,,,1
202,4169,Balestrier,BALESTRIERS,43.644253,3.903334,,,1
204,4201,Les Aires,LES AIRES,43.642475,3.899609,,,1
205,4202,Balestrier,BALESTRIERS,43.64431,3.903695,,,1
206,4203,Buissonnets,BUISSONNETS,43.645443,3.906994,,,1
207,4204,Auguste Renoir,"auguste, renoir",43.643677,3.910907,,,1
208,4205,Cimetière du Champ Juvénal,cimeutière du champ juvainal,43.644135,3.910251,,,1
209,4206,Sycomores,SYCOMORES,43.641911,3.910549,,,1
210,4207,Acacias,acacia,43.640636,3.911727,,,1
211,4208,Chênes Kermès,CHENES kairmesse,43.638924,3.908833,,,1
212,4209,Thym,THYM,43.637775,3.906164,,,1
213,4210,Sapins,SAPINS,43.636898,3.910262,,,1
221,4218,Cimetière de Castelnau-le-Lez,"Cimeutière, de Castelnau le leze",43.631985,3.897564,,,1
